brand,model,generation,variant,brand_th,brand_segment,oem_group,brand_origin,trim_detail,nameplate,model_th,body_type,cab_type,registration_type,market_scope,model_aliases,segment,seats,launched,ended,powertrain,drivetrain,engine_cc,battery_kwh,variant_aliases,price_thb,price_min_thb,price_max_thb,import_type,origin_country,price_note
Deepal,Deepal S05,,51 kWh BEV,ดีพัล,MASS,Changan,CN,true,,ดีพัล เอส05,CROSSOVER,,,,s05,B,5,2025-06-01,,BEV,RWD,,51.5,,799000,,,CKD,TH,seed-unverified
Deepal,Deepal S05,,1.5L REEV,ดีพัล,MASS,Changan,CN,true,,,,,,,,,,,,REEV,RWD,1500,28.4,,899000,,,CKD,TH,seed-unverified
Deepal,Deepal S07,,80 kWh BEV,ดีพัล,MASS,Changan,CN,true,,ดีพัล เอส07,CROSSOVER,,,,s07,C,5,2024-03-01,,BEV,RWD,,79.9,,1359000,,,CKD,TH,seed-unverified
Deepal,Deepal L07,,80 kWh BEV,ดีพัล,MASS,Changan,CN,true,,ดีพัล แอล07,SEDAN,,,,l07,D,5,2024-06-01,,BEV,RWD,,79.9,,1099000,,,CKD,TH,seed-unverified
Deepal,Deepal E07,,89 kWh BEV,ดีพัล,MASS,Changan,CN,true,,ดีพัล อี07,SUV,,,,e07,D,5,2025-01-01,,BEV,AWD,,88.9,,1999000,,,CBU,CN,seed-unverified
Deepal,Deepal Hunter K50,,1.5L PHEV,ดีพัล,MASS,Changan,CN,true,,ดีพัล ฮันเตอร์,PICKUP,DOUBLE_CAB,,,hunter k50|hunter,F,5,2025-09-01,,PHEV,AWD,1500,31.7,,1199000,,,CBU,CN,seed-unverified
Jaecoo,Jaecoo 5 EV,,61 kWh BEV,เจคู,MASS,Chery,CN,true,,เจคู 5,CROSSOVER,,,,5 ev|jaecoo 5,B,5,2025-09-01,,BEV,FWD,,60.9,,799000,,,CKD,TH,seed-unverified
Jaecoo,Jaecoo 6 EV,,69 kWh BEV,เจคู,MASS,Chery,CN,true,,เจคู 6,CROSSOVER,,,,6 ev|jaecoo 6,B,5,2025-11-01,,BEV,FWD,,69.0,,999000,,,CKD,TH,seed-unverified
Jaecoo,Jaecoo 6T EV,,69 kWh BEV AWD,เจคู,MASS,Chery,CN,true,,เจคู 6ที,CROSSOVER,,,,6t ev|jaecoo 6t,C,5,2025-11-01,,BEV,AWD,,69.0,,1099000,,,CKD,TH,seed-unverified
Jaecoo,Jaecoo 7,,1.5L PHEV,เจคู,MASS,Chery,CN,true,,เจคู 7,CROSSOVER,,,,7 shs|jaecoo 7|j7,C,5,2024-09-01,,PHEV,FWD,1500,18.3,,1099000,,,CKD,TH,seed-unverified
Geely,Geely EX5,,60 kWh BEV,จีลี่,MASS,Geely,CN,true,,จีลี่ อีเอ็กซ์5,CROSSOVER,,,,ex5,C,5,2025-08-01,,BEV,FWD,,60.2,,949000,,,CKD,TH,seed-unverified
Denza,Denza D9,,1.5L PHEV,เด็นซ่า,PREMIUM_LUXURY,BYD,CN,true,,เด็นซ่า ดี9,MPV,,,,d9|denza d9,E,7,2025-06-01,,PHEV,FWD,1500,18.3,,1899000,,,CBU,CN,seed-unverified
Denza,Denza D9,,103 kWh BEV AWD,เด็นซ่า,PREMIUM_LUXURY,BYD,CN,true,,,,,,,,,,,,BEV,AWD,,103.0,,2399000,,,CBU,CN,seed-unverified
Wuling,Wuling Bingo,,32 kWh BEV,หวูหลิง,BUDGET,SAIC-GM-Wuling,CN,true,,หวูหลิง บิงโก,HATCHBACK,,,,bingo|binguo|bingou,A,5,2024-06-01,,BEV,FWD,,31.9,,499000,,,CKD,TH,seed-unverified
Wuling,Wuling Air EV,,27 kWh BEV,หวูหลิง,BUDGET,SAIC-GM-Wuling,CN,true,,หวูหลิง แอร์ อีวี,HATCHBACK,,,,air ev,A,4,2022-08-01,,BEV,RWD,,26.7,,399000,,,CKD,TH,seed-unverified
Avatr,Avatr 11,,90 kWh BEV,อาวาตาร์,PREMIUM_TECH,Changan,CN,true,,อาวาตาร์ 11,CROSSOVER,,,,avatr 11|11,D,5,2024-06-01,,BEV,AWD,,90.4,,2599000,,,CBU,CN,seed-unverified
GAC,GAC M8,,2.0L PHEV,จีเอซี,MASS,GAC,CN,true,,จีเอซี เอ็ม8,MPV,,,,m8,E,7,2025-01-01,,PHEV,FWD,1998,25.6,,2399000,,,CBU,CN,seed-unverified
Leapmotor,Leapmotor B10,,67 kWh BEV,ลีปมอเตอร์,MASS,Leapmotor,CN,true,,ลีปมอเตอร์ บี10,CROSSOVER,,,,b10,B,5,2025-10-01,,BEV,RWD,,67.1,,899000,,,CKD,TH,seed-unverified
Leapmotor,Leapmotor C10,,70 kWh BEV,ลีปมอเตอร์,MASS,Leapmotor,CN,true,,ลีปมอเตอร์ ซี10,CROSSOVER,,,,c10,C,5,2025-03-01,,BEV,RWD,,69.9,,1199000,,,CKD,TH,seed-unverified
