เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2023-03,RY1,ASTON MARTIN,DB11 V8 COUPE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A3 SB 35 TFSI S line,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A4 AV 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A5 CP 40 TFSI S line,22,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A5 CP 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A5 SB 40 TFSI S line,24,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A5 SB 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A6 40 TFSI S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,A7 SB 45 TFSI,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,e-tron 55 q,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,e-tron GT quattro PF,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,e-tron SB 55 q S line,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,Q3 35 TFSI S line,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,Q3 40 TFSI q S line BE,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,Q3 SB 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,Q3 SB 40 TFSI q S line BE,14,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,Q5 55 TFSI e q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,RS 3 Sportback quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,RS 4 AV q,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,RS 5 Coupe quattro,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,RS Q3 Sportback quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,RS Q8 TFSI QUATTRO,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,S3 Sportback quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-03,RY1,AUDI,TT Coupe 45 TFSI q S line,23,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
