period,registration_type,brand,model,units
2026-07,RY1,AION,AION UT 420 STANDARD,706
2026-07,RY1,AION,AION UT 500 PREMIUM,338
2026-07,RY1,AION,AION V 500 PREMIUM,152
2026-07,RY1,AION,AION V 505 PREMIUM,194
2026-07,RY1,AION,AION V 602 LUXURY,207
2026-07,RY1,AION,AION Y PLUS,3
2026-07,RY1,AION,AION Y PLUS 410 PREMIUM,1
2026-07,RY1,AION,AION Y PLUS 490 PREMIUM,7
2026-07,RY1,AION,HYPTEC HT 620 LUXURY,4
2026-07,RY1,AION,HYPTEC HT 620 PREMIUM,349
2026-07,RY1,ASTON MARTIN,DB12 COUPE,1
2026-07,RY1,AUDI,A4 40 TFSI S line IB,1
2026-07,RY1,AUDI,A5 CP 40 TFSI S line eo,1
2026-07,RY1,AUDI,A5 SB 40 TFSI S line eo,3
2026-07,RY1,AUDI,A5 SB e-hybrid q Tech Plus,1
2026-07,RY1,AUDI,A5 SB e-hybrid q Tech Pro,2
2026-07,RY1,AUDI,A7 SB 55 TFSIe q Sline,2
2026-07,RY1,AUDI,Q3 40 TFSI q S line BE,1
2026-07,RY1,AUDI,Q3 SB 40 TFSI q S line BE,1
2026-07,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,5
2026-07,RY1,AUDI,Q8 TFSI e q S line edition one,2
2026-07,RY1,AUDI,RS Q3 SB edition 10 years,1
2026-07,RY1,AUDI,S3 Sportback quattro,1
2026-07,RY1,AUDI,TT Coupe Final Icon Black,6
2026-07,RY1,AUDI,TT RS Coupe q,1
2026-07,RY1,AVATR,AVATR 07 MAX,68
2026-07,RY1,AVATR,AVATR 07 ULTRA AWD,41
2026-07,RY1,AVATR,AVATR 11 LONG RANGE,74
2026-07,RY1,AVATR,AVATR 11 ROYAL EDITION,15
2026-07,RY1,AVATR,AVATR 11 STANDARD RANGE,1
2026-07,RY1,BENTLEY,BENTAYGA AZURE HYBRID,1
2026-07,RY1,BENTLEY,FLYING SPUR AZURE HYBRID,1
2026-07,RY1,BENTLEY,FLYING SPUR HYBRID,1
2026-07,RY1,BMW,220 Gran Coupe M Sport Pr,65
2026-07,RY1,BMW,220i Gran Coupe M Sport,5
2026-07,RY1,BMW,320Li Limousine LWB RHD,14
2026-07,RY1,BMW,320Li Limousine RHD,1
2026-07,RY1,BMW,320d Limousine RHD,1
2026-07,RY1,BMW,320d M Sport,89
2026-07,RY1,BMW,330e M Sport,106
2026-07,RY1,BMW,420i Coupe RHD,3
2026-07,RY1,BMW,430i Convertible RHD,3
2026-07,RY1,BMW,430i Coupe RHD,6
2026-07,RY1,BMW,520d M Sport,38
2026-07,RY1,BMW,520d M Sport Pro,16
2026-07,RY1,BMW,530e Inspiring,10
2026-07,RY1,BMW,530e M Sport,39
2026-07,RY1,BMW,530e M Sport Pro,26
2026-07,RY1,BMW,630i Gran Turismo RHD,1
2026-07,RY1,BMW,740d M Sport,1
2026-07,RY1,BMW,750e xDrive M Sport,3
2026-07,RY1,BMW,M2 Coupe RHD MX,1
2026-07,RY1,BMW,M2 RHD,1
2026-07,RY1,BMW,M240i xDrive Coupe RHD MX,1
2026-07,RY1,BMW,M3 CS Limousine RHD,1
2026-07,RY1,BMW,M340i xDrive,16
2026-07,RY1,BMW,M4 Competition M xDrive C,2
2026-07,RY1,BMW,M440i xDrive Coupe RHD,1
2026-07,RY1,BMW,M760e xDrive,2
2026-07,RY1,BMW,X1 sDrive20d M Sport,1
2026-07,RY1,BMW,X1 sDrive20d xLine,1
2026-07,RY1,BMW,X1 sDrive20i M Sport,132
2026-07,RY1,BMW,X1 sDrive20i xLine,2
2026-07,RY1,BMW,X1 xDrive30e M Sport,1
2026-07,RY1,BMW,X3 20d xDrive M Sport Pro,77
2026-07,RY1,BMW,X3 M50 xDrive,11
2026-07,RY1,BMW,X3 xDrive30e M Sport,7
2026-07,RY1,BMW,X4 M RHD,1
2026-07,RY1,BMW,X4 xDrive20d RHD,13
2026-07,RY1,BMW,X5 xDrive30d M Sport,20
2026-07,RY1,BMW,X5 xDrive50e RHD,18
2026-07,RY1,BMW,X6 xDrive40i M Sport,9
2026-07,RY1,BMW,X7 xDrive40d M Sport,6
