period,registration_type,brand,model,units
2026-05,*,TOYOTA,YARIS ATIV,5716
2026-05,*,TOYOTA,HILUX TRAVO,3429
2026-05,*,TOYOTA,YARIS CROSS,3139
2026-05,*,TOYOTA,Hilux Revo,2422
2026-05,*,TOYOTA,COROLLA CROSS,1413
2026-05,*,TOYOTA,Fortuner,1277
2026-05,*,TOYOTA,Commuter,494
2026-05,*,TOYOTA,HILUX CHAMP,559
2026-05,*,TOYOTA,Camry,378
2026-05,*,TOYOTA,Yaris,308
2026-05,*,TOYOTA,VELOZ,287
2026-05,*,TOYOTA,Corolla,119
2026-05,*,TOYOTA,LAND CRUISER FJ,34
2026-05,*,TOYOTA,HIACE MAJESTY,133
2026-05,*,TOYOTA,Innova,138
2026-05,*,TOYOTA,VELLFIRE HYBRID Z PREMIER,144
2026-05,*,TOYOTA,BZ4X,213
2026-05,*,TOYOTA,ALPHARD HYBRID Z 2WD,118
2026-05,*,TOYOTA,Hiace,62
2026-05,*,TOYOTA,ALPHARD,83
2026-05,*,TOYOTA,ALPHARD Z 2WD,21
2026-05,*,TOYOTA,ALPHARD HYBRID Z 2.5L,23
2026-05,*,TOYOTA,ALPHARD HYBRID X,13
2026-05,*,TOYOTA,ALPHARD HYBRID Z E-FOUR,9
2026-05,*,TOYOTA,VELLFIRE,11
2026-05,*,TOYOTA,VELLFIRE Z PREMIER HYBRID 2.5L,12
2026-05,*,TOYOTA,VELLFIRE 2.5 HYBRID Z PREMIER,12
2026-05,*,TOYOTA,ALPHARD HYBRID Z,7
2026-05,*,TOYOTA,ALPHARD 2.5 HYBRID Z,12
2026-05,*,TOYOTA,ALPHARD HYBRID EXECUTIVE,4
2026-05,*,TOYOTA,ALPHARD Z HYBRID 2.5L,8
2026-05,*,TOYOTA,LAND CRUISER 250 ZX,10
2026-05,*,TOYOTA,ALPHARD Z 2WD 2.5L,11
2026-05,*,TOYOTA,C-HR,1
2026-05,*,TOYOTA,ALPHARD Z 2.5L,7
2026-05,*,TOYOTA,LAND CRUISER 70 AX,7
2026-05,*,TOYOTA,GR YARIS RZ HIGH PERFORMANCE,7
2026-05,*,TOYOTA,ALPHARD 2.5 HYBRID X,8
2026-05,*,TOYOTA,VOXY HYBRID S-Z,4
2026-05,*,TOYOTA,VELLFIRE Z PREMIER,2
2026-05,*,TOYOTA,LAND CRUISER 250 ZX FIRST,2
2026-05,*,TOYOTA,GR86 RC,1
2026-05,*,TOYOTA,ALPHARD 2.5 Z,1
2026-05,*,TOYOTA,VELLFIRE HYBRID EXECUTIVE,4
2026-05,*,TOYOTA,LAND CRUISER 300 ZX,2
2026-05,*,TOYOTA,ALPHARD HYBRID Z 2.5L E-FOUR,1
2026-05,*,TOYOTA,LAND CRUISER 250 VX,1
2026-05,*,TOYOTA,CROWN CROSSOVER RS ADVANCED,2
2026-05,*,TOYOTA,ALPHARD HYBRID X E-FOUR,5
2026-05,*,TOYOTA,HARRIER HYBRID Z LEATHER,2
2026-05,*,TOYOTA,LAND CRUISER 250 ZX 2.8L,2
2026-05,*,TOYOTA,LAND CRUISER 250 GX,1
2026-05,*,TOYOTA,VOXY HYBRID SZ 1.8L,3
2026-05,*,TOYOTA,NOAH HYBRID X 2WD,1
2026-05,*,TOYOTA,GR86 RZ,1
2026-05,*,TOYOTA,GR86 RZ 2WD,2
2026-05,*,TOYOTA,LAND CRUISER 70 AX 2.8L 4WD,2
2026-05,*,TOYOTA,GR86 CUP CAR BASIC,1
2026-05,*,TOYOTA,ALPHARD HYBRID X 2.5L,4
2026-05,*,TOYOTA,GR SUPRA RZ 3.0,1
2026-05,*,TOYOTA,ALPHARD EXECUTIVE LOUNGE,1
2026-05,*,TOYOTA,VELLFIRE HYBRID Z 2.5L,1
2026-05,*,TOYOTA,VELLFIRE HYBRID Z E-FOUR,1
2026-05,*,TOYOTA,CROWN SPORT Z,1
2026-05,*,TOYOTA,ALPHARD SC PACKAGE 2.5L,1
2026-05,*,TOYOTA,GR COROLLA,1
2026-05,*,TOYOTA,GR COROLLA RZ,1
2026-05,*,TOYOTA,Sienta,1
2026-05,*,TOYOTA,ALPHARD Z,1
2026-05,*,TOYOTA,ALPHARD PHEV EXECUTIVE LOUNGE,1
2026-05,*,TOYOTA,LAND CRUISER ZX,2
2026-05,*,TOYOTA,VELLFIRE HYBRID Z 2.5L E-FOUR,1
2026-05,*,TOYOTA,PRIUS HYBRID Z 2WD,1
2026-05,*,TOYOTA,GR YARIS RC 8AT 4WD,1
2026-05,*,TOYOTA,YARIS GRMN CIRCUIT PACKAGE,1
2026-05,*,TOYOTA,LAND CRUISER 79 PICK UP 4.2,1
2026-05,*,TOYOTA,CROWN CROSSOVER RS ADVANCE,1
2026-05,*,TOYOTA,VIOS,1
2026-05,*,HONDA,HR-V,2305
2026-05,*,HONDA,CITY HATCHBACK,1702
2026-05,*,HONDA,CIVIC,1248
2026-05,*,HONDA,CITY,930
2026-05,*,HONDA,CR-V,637
2026-05,*,HONDA,ACCORD,198
2026-05,*,HONDA,STEP WGN,42
2026-05,*,HONDA,e:N1,37
2026-05,*,HONDA,STEP WGN e-HEV SPADA PREMIUM,13
2026-05,*,HONDA,CIVIC TYPE R,14
2026-05,*,HONDA,e:N2,17
2026-05,*,HONDA,STEP WGN e-HEV AIR,1
2026-05,*,HONDA,ODYSSEY e-HEV ABSOLUTE EX,1
2026-05,*,HONDA,PRELUDE e:HEV,1
2026-05,*,HONDA,JAZZ,1
2026-05,*,HONDA,FREED,1
2026-05,*,ISUZU,D-MAX,4223
2026-05,*,ISUZU,mu-X,956
2026-05,*,ISUZU,ไม่ระบุ,140
2026-05,*,BYD,BYD DOLPHIN (435KM-STD),762
2026-05,*,BYD,BYD ATTO3 (480KM-EXT),933
2026-05,*,BYD,BYD ATTO3 (410KM-PREMIUM),434
2026-05,*,BYD,BYD SEALION 6 DM-i PREMIUM,1051
2026-05,*,BYD,BYD DOLPHIN (490KM-EXT),517
2026-05,*,BYD,BYD SEALION 7 RWD,215
2026-05,*,BYD,BYD ATTO 2 PREMIUM,229
2026-05,*,BYD,BYD SEALION 7 AWD,65
2026-05,*,BYD,BYD SEAL 5 DM-i PREMIUM,198
2026-05,*,BYD,BYD M6 EXTENDED,60
2026-05,*,BYD,BYD ATTO 1 PREMIUM,133
2026-05,*,BYD,BYD SEAL STD RWD,76
2026-05,*,BYD,BYD SEALION 6 DM-i DYNAMIC,60
2026-05,*,BYD,BYD SEAL 5 DM-i STANDARD,54
2026-05,*,BYD,BYD M6 DYNAMIC,48
2026-05,*,BYD,BYD SEAL 6 PREMIUM,26
2026-05,*,BYD,BYD SEAL 5 DM-i DYNAMIC,37
2026-05,*,BYD,T3,88
2026-05,*,BYD,BYD ATTO 2 DYNAMIC,39
2026-05,*,BYD,BYD SEAL 6 DYNAMIC,4
2026-05,*,BYD,BYD ATTO 3,1
2026-05,*,MG,S5 EV,1775
2026-05,*,MG,MG4 ELECTRIC,391
2026-05,*,MG,IM6,323
2026-05,*,MG,MG3,108
2026-05,*,MG,MG5,88
2026-05,*,MG,EP,4
2026-05,*,MG,IM5,42
2026-05,*,MG,MAXUS 7,95
2026-05,*,MG,ZS,34
2026-05,*,MG,MAXUS 9,5
2026-05,*,MG,HS PHEV,12
2026-05,*,MG,VS HEV,9
2026-05,*,MG,MG EXTENDER,6
2026-05,*,MG,CYBERSTER,8
2026-05,*,MG,ES,1
2026-05,*,MG,HS,1
2026-05,*,MG,NEW MG3,2
2026-05,*,JAECOO,5 EV Long Range Max,1008
2026-05,*,JAECOO,6 EV Long Range 2WD PRO,393
2026-05,*,JAECOO,6 EV Long Range 4WD,80
