period,registration_type,brand,nameplate,model,trim_label,grade,drive,range_km,battery_kwh,powertrain_hint,segment,body_type,market_position,powertrain,brand_segment,units,raw_label
2026-01,RY1,Jaecoo,Jaecoo 5 EV,Jaecoo 5 EV,Long Range Max,LONG RANGE MAX,,,,,B,CROSSOVER,VOLUME,BEV,MASS,6779.0,JAECOO 5 EV Long Range Max
2026-01,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,5061.0,BYD BYD DOLPHIN (435KM-STD)
2025-12,RY1,Jaecoo,Jaecoo 5 EV,Jaecoo 5 EV,Long Range Max,LONG RANGE MAX,,,,,B,CROSSOVER,VOLUME,BEV,MASS,3356.0,JAECOO 5 EV Long Range Max
2026-01,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,2691.0,BYD BYD ATTO3 (480KM-EXT)
2026-01,RY1,MG,MG4 Electric,MG4 Electric,,,,,,,C,HATCHBACK,VOLUME,BEV,MASS,2400.0,MG MG4 ELECTRIC
2025-04,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,PREMIUM,PREMIUM,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,2314.0,BYD BYD SEALION 6 DM-i PREMIUM
2023-03,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,2307.0,BYD BYD ATTO 3
2023-06,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,2203.0,NETA NETA V
2024-01,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,2201.0,BYD BYD DOLPHIN STD
2026-01,RY1,MG,MG S5 EV,MG S5 EV,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,2080.0,MG S5 EV
2024-01,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,2013.0,NETA NETA V
2025-11,RY1,Jaecoo,Jaecoo 5 EV,Jaecoo 5 EV,Long Range Max,LONG RANGE MAX,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1952.0,JAECOO 5 EV Long Range Max
2026-01,RY1,Deepal,Deepal S05,Deepal S05,MAX,MAX,,,,,B,CROSSOVER,VOLUME,MIXED,MASS,1927.0,DEEPAL S05 MAX
2026-01,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1904.0,ORA GOOD CAT
2023-05,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1812.0,BYD BYD ATTO 3
2023-02,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1795.0,BYD BYD ATTO 3
2023-11,RY1,BYD,Dolphin,Dolphin,STD,STD,,,,,B,HATCHBACK,VOLUME,BEV,MASS,1705.0,BYD BYD DOLPHIN STD
2025-06,RY1,BYD,Dolphin,Dolphin,435KM-STD,STD,,435.0,,,B,HATCHBACK,VOLUME,BEV,MASS,1697.0,BYD BYD DOLPHIN (435KM-STD)
2023-06,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,1599.0,BYD BYD ATTO 3
